beginYear,beginMonth,beginDay,beginHour,beginMinute,eventId,eventType,latitude,longitude,stationId
2010,1,1,6,0,210727,Flood,35.2647,-91.3692,KLZK
2010,1,1,6,0,209497,Flood,37.8769,-89.0255,KPAH
2010,1,1,6,0,209495,Flood,36.9888,-89.1407,KPAH
2010,1,1,6,0,210725,Flood,34.75,-91.34,KLZK
2010,1,1,6,0,210724,Flood,35.0,-91.49,KLZK
2010,1,1,6,0,210723,Flood,35.31,-91.21,KLZK
2010,1,1,6,0,210722,Flood,33.9435,-92.2302,KLZK
2010,1,1,6,0,210721,Flood,33.57,-92.76,KLZK
2010,1,1,6,0,209498,Flood,37.7563,-89.3738,KPAH
2010,1,1,6,0,209500,Flood,38.0892,-88.1488,KPAH
2010,1,1,19,31,212194,Marine Thunderstorm Wind,24.69,-82.77,KBYX
2010,1,2,16,0,209409,Flash Flood,44.7985,-68.7674,KGYX
2010,1,5,22,0,201302,Flood,46.553,-116.9193,KOTX
2010,1,7,16,46,214948,Heavy Rain,18.4176,-66.0895,TJUA
2010,1,8,19,0,212558,Flood,45.1735,-113.9014,KMSX
2010,1,13,21,15,214949,Flood,18.4624,-66.1899,TJUA
2010,1,14,1,53,216211,Flash Flood,18.4003,-66.3441,TJUA
2010,1,14,21,28,214950,Flash Flood,18.4348,-66.1299,TJUA
2010,1,14,22,0,213823,Flash Flood,18.3177,-65.6528,TJUA
2010,1,14,22,0,211745,Heavy Rain,18.43,-66.55,TJUA
2010,1,15,4,0,211766,Heavy Rain,18.45,-66.38,TJUA
2010,1,15,6,0,214180,Flood,27.8453,-97.7797,KCRP
2010,1,15,6,0,214178,Flood,28.22,-97.32,KCRP
2010,1,15,6,15,214181,Flood,27.92,-97.14,KCRP
2010,1,15,11,20,211994,Flash Flood,28.7345,-96.2115,KHGX
2010,1,15,14,25,216226,Flood,18.4003,-66.3441,TJUA
2010,1,15,16,0,214182,Flood,28.18,-97.77,KCRP
2010,1,15,17,30,214183,Flood,27.7039,-98.0729,KCRP
2010,1,15,19,30,216241,Flood,18.4326,-66.3506,TJUA
2010,1,15,19,30,216245,Flood,18.3943,-65.9116,TJUA
2010,1,15,20,0,214184,Flood,28.0611,-97.8147,KCRP
2010,1,15,20,20,216234,Flood,18.4094,-66.34,TJUA
2010,1,15,20,30,214185,Flood,28.5055,-96.6506,KCRP
2010,1,17,10,31,209944,Marine Thunderstorm Wind,32.5,-79.1,KLTX
2010,1,17,22,45,210262,Thunderstorm Wind,35.5012,-77.7428,KRAX
2010,1,17,23,0,210261,Thunderstorm Wind,35.72,-77.27,KRAX
2010,1,18,2,0,207454,Flood,48.3627,-119.7142,KOTX
2010,1,18,16,50,213491,Flood,37.3596,-121.8751,KMUX
2010,1,18,18,0,213495,Flood,37.2989,-121.9411,KMUX
2010,1,18,18,23,213571,Thunderstorm Wind,37.62,-122.38,KMUX
2010,1,18,19,0,213494,Flood,37.3778,-121.9499,KMUX
2010,1,18,19,3,213589,Thunderstorm Wind,37.4411,-121.9414,KMUX
2010,1,18,19,10,209214,Flash Flood,34.4639,-119.7482,KVTX
2010,1,18,19,15,213501,Flood,37.3271,-121.9411,KMUX
2010,1,18,20,17,209215,Flash Flood,34.335,-118.1635,KSOX
2010,1,18,21,55,269998,Flood,35.43,-119.05,KHNX
2010,1,18,22,0,210798,Heavy Rain,33.7069,-117.8575,KSOX
2010,1,18,23,24,270002,Tornado,36.73,-119.86,KHNX
2010,1,18,23,57,275831,Flash Flood,35.37,-117.66,KEYX
2010,1,19,0,15,210916,Flash Flood,33.3107,-116.9314,KNKX
2010,1,19,13,0,213611,Flood,37.7245,-122.402,KMUX
2010,1,19,13,0,213644,Flood,37.9415,-122.5162,KDAX
2010,1,19,13,0,213643,Flood,37.8727,-122.5048,KMUX
2010,1,19,14,0,213633,Flood,38.0114,-121.8208,KDAX
2010,1,19,14,0,213634,Flood,38.0271,-121.8812,KDAX
2010,1,19,14,30,213645,Flood,38.5746,-122.8408,KDAX
2010,1,19,15,0,213615,Flood,37.8621,-122.2094,KMUX
2010,1,19,15,0,213639,Flood,37.424,-122.1658,KMUX
2010,1,19,18,25,209228,Waterspout,34.3962,-119.8622,KVTX
2010,1,19,18,32,209224,Tornado,34.4248,-119.877,KVTX
2010,1,19,19,3,270005,Flood,36.14,-120.36,KHNX
2010,1,19,20,20,209227,Waterspout,33.6296,-118.0742,KSOX
2010,1,19,20,25,209229,Flash Flood,33.8391,-118.2204,KSOX
2010,1,19,20,35,203967,Heavy Rain,33.26,-115.95,KNKX
2010,1,19,20,55,211222,Tornado,33.716,-118.125,KSOX
2010,1,19,21,0,211233,Thunderstorm Wind,33.6533,-117.918,KSOX
2010,1,19,21,35,213354,Thunderstorm Wind,33.5263,-117.7807,KSOX
2010,1,19,21,58,211406,Thunderstorm Wind,33.4104,-117.6452,KSOX
2010,1,19,22,0,275832,Flood,36.2788,-119.9935,KHNX
2010,1,19,22,30,211421,Heavy Rain,34.0829,-117.4466,KSOX
2010,1,19,22,50,211235,Thunderstorm Wind,32.834,-116.9742,KNKX
2010,1,19,23,45,212353,Hail,38.36,-121.97,KDAX
2010,1,19,23,45,212352,Hail,38.36,-121.97,KDAX
2010,1,20,1,0,275833,Flood,35.13,-119.48,KVTX
2010,1,20,8,45,208476,Heavy Rain,36.1741,-115.0645,KESX
2010,1,20,14,5,209219,Thunderstorm Wind,35.4453,-120.8973,KVBX
2010,1,20,14,5,209226,Marine Thunderstorm Wind,35.4076,-121.0144,KVBX
2010,1,20,14,45,213657,Flood,37.3769,-121.9371,KMUX
2010,1,20,14,55,213659,Hail,39.8,-91.53,KLSX
2010,1,20,15,0,213758,Flood,37.2645,-122.38,KMUX
2010,1,20,15,0,213723,Flood,37.8805,-122.3069,KDAX
2010,1,20,16,0,213713,Flood,38.2468,-122.4377,KDAX
2010,1,20,16,0,213707,Flood,38.0826,-122.547,KDAX
2010,1,20,16,0,213646,Flood,36.3345,-121.23,KMUX
2010,1,20,16,0,213649,Flood,36.5807,-121.5317,KMUX
2010,1,20,16,0,213693,Flood,37.5019,-122.2621,KMUX
2010,1,20,16,30,213686,Flood,37.517,-122.2694,KMUX
2010,1,20,17,19,213759,Thunderstorm Wind,37.56,-122.44,KMUX
2010,1,20,17,21,210223,Hail,31.5488,-89.5172,KJAN
2010,1,20,18,30,213752,Flood,37.2183,-121.9891,KMUX
2010,1,20,18,52,209177,Flood,34.9503,-87.272,KHTX
2010,1,20,19,0,213653,Flood,37.0508,-122.0705,KMUX
2010,1,20,20,57,210618,Thunderstorm Wind,30.6729,-92.2791,KPOE
2010,1,20,21,2,210620,Thunderstorm Wind,30.7321,-92.237,KPOE
2010,1,20,21,5,210621,Thunderstorm Wind,30.7788,-92.1912,KPOE
2010,1,20,21,20,210622,Hail,30.8295,-92.0834,KPOE
2010,1,20,21,25,210624,Hail,30.8462,-92.0048,KPOE
2010,1,20,21,25,210623,Hail,30.8178,-92.0089,KPOE
2010,1,20,21,27,210625,Tornado,30.815,-92.0455,KPOE
2010,1,20,21,40,210614,Hail,30.64,-90.51,KLIX
2010,1,20,21,40,210617,Thunderstorm Wind,30.64,-90.52,KLIX
2010,1,20,22,0,241186,Flash Flood,34.2309,-118.9047,KVTX
2010,1,20,22,0,213691,Flood,37.3084,-121.9642,KMUX
2010,1,20,22,8,211518,Hail,32.2908,-90.5114,KJAN
2010,1,20,22,10,213763,Hail,37.0234,-121.8,KMUX
2010,1,20,22,17,203473,Hail,32.28,-94.97,KSHV
